"Top values of pid","current_time per second","CPU Usage Percent of Top PID","Memory Usage Percent of Top PID"
1,"00:04:05",0,"0.257"
1,"00:04:06",1,"0.265"
1,"00:04:07",1,"0.265"
1,"00:04:08",0,"0.265"
1,"00:04:09",1,"0.265"
1,"00:04:10",0,"0.265"
1,"00:04:11",0,"0.265"
1,"00:04:12",1,"0.265"
1,"00:04:13",0,"0.265"
1,"00:04:14",0,"0.265"
1,"00:04:15",1,"0.265"
1,"00:04:16",0,"0.265"
1,"00:04:17",1,"0.265"
1,"00:04:18",0,"0.265"
1,"00:04:19",1,"0.265"
1,"00:04:20",1,"0.265"
1,"00:04:21",1,"0.265"
1,"00:04:22",0,"0.265"
1,"00:04:23",1,"0.265"
1,"00:04:24",0,"0.265"
1,"00:04:25",1,"0.265"
1,"00:04:26",0,"0.265"
1,"00:04:27",1,"0.265"
1,"00:04:28",0,"0.265"
1,"00:04:29",1,"0.265"
1,"00:04:30",0,"0.265"
1,"00:04:31",1,"0.265"
1,"00:04:32",0,"0.265"
1,"00:04:33",0,"0.265"
1,"00:04:34",1,"0.265"
1,"00:04:35",0,"0.265"
1,"00:04:36",1,"0.265"
1,"00:04:37",0,"0.265"
1,"00:04:38",1,"0.265"
1,"00:04:39",0,"0.265"
1,"00:04:40",1,"0.265"
1,"00:04:41",0,"0.264"
1,"00:04:42",1,"0.264"
1,"00:04:43",0,"0.264"
1,"00:04:44",1,"0.264"
1,"00:04:45",0,0
1,"00:04:46",0,"0.264"
1,"00:04:47",0,"0.264"
1,"00:04:48",1,"0.264"
1,"00:04:49",0,"0.264"
1,"00:04:50",1,"0.264"
1,"00:04:51",0,"0.264"
1,"00:04:52",0,"0.264"
1,"00:04:53",1,"0.264"
1,"00:04:54",1,"0.264"
1,"00:04:55",1,"0.264"
1,"00:04:56",0,"0.264"
1,"00:04:57",0,"0.264"
1,"00:04:58",1,"0.264"
1,"00:04:59",0,"0.264"
1,"00:05:00",1,"0.264"
1,"00:05:01",0,"0.264"
1,"00:05:02",0,"0.264"
1,"00:05:03",1,"0.264"
1,"00:05:04",0,"0.264"
1,"00:05:05",1,"0.264"
1,"00:05:06",0,"0.264"
1,"00:05:07",1,"0.264"
1,"00:05:08",0,"0.264"
1,"00:05:09",1,"0.264"
1,"00:05:10",0,"0.264"
1,"00:05:11",0,"0.264"
1,"00:05:12",1,"0.264"
1,"00:05:13",0,"0.264"
1,"00:05:14",0,"0.264"
1,"00:05:15",1,"0.264"
1,"00:05:16",0,"0.264"
1,"00:05:17",1,"0.264"
1,"00:05:18",0,"0.264"
1,"00:05:19",1,"0.264"
1,"00:05:20",0,"0.264"
1,"00:05:21",2,"0.264"
1,"00:05:22",0,"0.264"
1,"00:05:23",1,"0.264"
1,"00:05:24",0,"0.264"
1,"00:05:25",0,"0.264"
1,"00:05:26",1,"0.264"
1,"00:05:27",1,"0.264"
1,"00:05:28",0,"0.264"
1,"00:05:29",1,"0.264"
1,"00:05:30",0,"0.264"
1,"00:05:31",1,"0.264"
1,"00:05:32",1,"0.264"
1,"00:05:33",0,"0.264"
1,"00:05:34",1,"0.264"
1,"00:05:35",0,"0.264"
1,"00:05:36",1,"0.264"
1,"00:05:37",0,"0.264"
1,"00:05:38",0,"0.264"
1,"00:05:39",1,"0.264"
1,"00:05:40",0,0
1,"00:05:41",0,"0.264"
1,"00:05:42",2,"0.264"
1,"00:05:43",0,"0.262"
1,"00:05:44",1,"0.261"
1,"00:05:45",0,0
1,"00:05:46",0,"0.26"
1,"00:05:47",0,"0.26"
1,"00:05:48",1,"0.26"
1,"00:05:49",0,"0.26"
1,"00:05:50",0,"0.26"
1,"00:05:51",1,"0.26"
1,"00:05:52",0,"0.26"
1,"00:05:53",1,"0.26"
1,"00:05:54",0,"0.26"
1,"00:05:55",1,"0.26"
1,"00:05:56",0,"0.26"
1,"00:05:57",1,"0.26"
1,"00:05:58",0,"0.26"
1,"00:05:59",1,"0.26"
1,"00:06:00",0,"0.26"
1,"00:06:01",1,"0.26"
1,"00:06:02",0,"0.26"
1,"00:06:03",0,"0.26"
1,"00:06:04",1,"0.26"
1,"00:06:05",0,"0.26"
1,"00:06:06",1,"0.26"
1,"00:06:07",0,"0.26"
1,"00:06:08",1,"0.26"
1,"00:06:09",1,"0.26"
1,"00:06:10",0,"0.26"
1,"00:06:11",0,"0.26"
1,"00:06:12",0,"0.26"
1,"00:06:13",1,"0.26"
1,"00:06:14",0,"0.26"
1,"00:06:15",1,"0.26"
1,"00:06:16",0,"0.26"
1,"00:06:17",1,"0.26"
1,"00:06:18",0,"0.26"
1,"00:06:19",1,"0.26"
1,"00:06:20",0,"0.26"
1,"00:06:21",0,"0.26"
1,"00:06:22",1,"0.26"
1,"00:06:23",0,"0.26"
1,"00:06:24",1,"0.26"
1,"00:06:25",0,"0.26"
1,"00:06:26",1,"0.26"
1,"00:06:27",0,"0.26"
1,"00:06:28",1,"0.26"
1,"00:06:29",0,"0.26"
1,"00:06:30",0,"0.26"
1,"00:06:31",0,"0.26"
1,"00:06:32",1,"0.26"
1,"00:06:33",0,"0.26"
1,"00:06:34",0,0
1,"00:06:35",1,"0.26"
1,"00:06:36",1,"0.26"
1,"00:06:37",0,"0.26"
1,"00:06:38",0,"0.26"
1,"00:06:39",1,"0.26"
1,"00:06:40",0,"0.26"
1,"00:06:41",1,"0.26"
1,"00:06:42",0,"0.26"
1,"00:06:43",0,"0.26"
1,"00:06:44",1,"0.26"
1,"00:06:45",0,"0.26"
1,"00:06:46",1,"0.26"
1,"00:06:47",0,"0.26"
1,"00:06:48",1,"0.26"
1,"00:06:49",0,"0.26"
1,"00:06:50",0,"0.26"
1,"00:06:51",1,"0.26"
1,"00:06:52",0,"0.26"
1,"00:06:53",1,"0.26"
1,"00:06:54",0,"0.26"
1,"00:06:55",0,"0.259"
1,"00:06:56",1,"0.259"
1,"00:06:57",0,"0.259"
1,"00:06:58",1,"0.259"
1,"00:06:59",0,"0.259"
1,"00:07:00",0,"0.259"
1,"00:07:01",1,"0.259"
1,"00:07:02",0,"0.258"
1,"00:07:03",0,"0.258"
1,"00:07:04",1,"0.258"
1,"00:07:05",0,"0.258"
1,"00:07:06",0,"0.258"
1,"00:07:07",1,"0.258"
1,"00:07:08",0,"0.258"
1,"00:07:09",1,"0.258"
1,"00:07:10",1,"0.258"
1,"00:07:11",0,"0.258"
1,"00:07:12",1,"0.258"
1,"00:07:13",0,"0.257"
1,"00:07:14",1,"0.257"
1,"00:07:15",0,"0.257"
1,"00:07:16",0,"0.257"
1,"00:07:17",1,"0.257"
1,"00:07:18",0,"0.257"
1,"00:07:19",1,"0.257"
1,"00:07:20",0,"0.257"
1,"00:07:21",1,"0.257"
1,"00:07:22",0,"0.257"
1,"00:07:23",0,"0.256"
1,"00:07:24",1,"0.256"
1,"00:07:25",0,"0.256"
1,"00:07:26",0,"0.256"
1,"00:07:27",1,"0.256"
1,"00:07:28",0,0
1,"00:07:29",0,"0.256"
1,"00:07:30",0,"0.256"
1,"00:07:31",0,"0.255"
1,"00:07:32",1,"0.255"
1,"00:07:33",0,"0.255"
1,"00:07:34",1,"0.255"
1,"00:07:35",0,"0.255"
1,"00:07:36",1,"0.255"
